f [Hz];U [dBuV]
0,001;43,173817
0,002;47,243900
0,003;50,565956
0,004;52,871334
0,005;54,642391
0,006;56,059368
0,007;57,225086
0,008;58,189594
0,009;59,158268
0,01;59,849419
0,02;63,724308
0,03;65,190510
0,04;65,911667
0,05;66,300919
0,06;66,556133
0,07;66,723442
0,08;66,835125
0,09;66,899361
0,1;66,979843
0,11;66,990566
0,12;67,017788
0,13;67,007488
0,14;66,985382
0,15;66,350140
0,2;67,105595
0,3;66,984642
0,4;67,259048
0,5;67,254642
0,6;67,132828
0,7;67,022617
0,8;66,931080
0,9;66,859695
1,0;66,798012
2,0;65,950874
3,0;63,561485
4,0;60,011944
5,0;71,458836
6,0;66,826702
7,0;65,257446
8,0;70,923080
9,0;71,588638
10,0;71,247364
11,0;70,558060
12,0;69,379681
13,0;67,938179
14,0;65,642307
15,0;66,813770
16,0;71,773621
17,0;74,255856
18,0;74,264423
19,0;73,115726
20,0;71,380219
21,0;70,250668
22,0;71,877499
23,0;73,284626
24,0;73,207317
25,0;72,100578
26,0;70,253502
27,0;69,628998
28,0;70,884644
29,0;72,098782
30,0;72,281532
