f [Hz];U [dBuV]
0,001;71,398613
0,002;80,877436
0,003;89,371660
0,004;93,623844
0,005;95,633484
0,006;96,206296
0,007;96,598391
0,008;96,689527
0,009;97,428260
0,01;97,337841
0,02;97,226656
0,03;97,296096
0,04;97,485001
0,05;97,350827
0,06;97,381110
0,07;97,395863
0,08;97,419006
0,09;97,410292
0,1;97,716033
0,11;97,595918
0,12;97,679862
0,13;97,629148
0,14;97,643684
0,15;97,125119
0,2;97,713785
0,3;97,572531
0,4;97,614646
0,5;97,540202
0,6;97,494531
0,7;97,483205
0,8;97,497876
0,9;97,510789
1,0;97,528639
2,0;97,447219
3,0;97,308378
4,0;97,192978
5,0;97,103516
6,0;97,121387
7,0;97,253778
8,0;97,290404
9,0;97,509203
10,0;97,876366
11,0;98,253368
12,0;98,628021
13,0;99,049475
14,0;99,361652
15,0;99,468063
16,0;99,436760
17,0;99,196181
18,0;98,749098
19,0;98,287224
20,0;97,804514
21,0;97,379835
22,0;97,023370
23,0;96,791732
24,0;96,625773
25,0;96,557816
26,0;96,653443
27,0;96,837526
28,0;97,052399
29,0;97,362836
30,0;97,476002
