f [Hz];U [dBuV]
0,001;113,635753
0,002;124,676359
0,003;125,511824
0,004;125,885841
0,005;126,200170
0,006;126,343851
0,007;126,412325
0,008;126,447720
0,009;126,657675
0,01;126,673143
0,02;126,500629
0,03;126,599695
0,04;126,735081
0,05;126,875927
0,06;126,992483
0,07;127,063381
0,08;127,123146
0,09;127,174213
0,1;127,295002
0,11;127,280741
0,12;127,305910
0,13;127,291124
0,14;127,216158
0,15;126,614469
0,2;126,738251
0,3;124,740562
0,4;122,458192
0,5;120,470702
0,6;118,836997
0,7;117,475471
0,8;116,299633
0,9;115,256618
1,0;114,315088
2,0;107,315253
3,0;101,269706
4,0;95,288100
5,0;104,973324
6,0;99,186245
7,0;96,823479
8,0;100,927968
9,0;100,570895
10,0;99,564958
11,0;98,336361
12,0;96,459902
13,0;93,871828
14,0;90,022545
15,0;89,777534
16,0;94,320311
17,0;97,310401
18,0;97,136248
19,0;95,167461
20,0;92,942348
21,0;92,032898
22,0;94,113226
23,0;95,083321
24,0;94,519284
25,0;93,480021
26,0;91,342157
27,0;89,462666
28,0;90,024429
29,0;90,912373
30,0;90,666029
