f [Hz];U [dBuV]
0,001;130,993780
0,002;130,972731
0,003;130,971365
0,004;130,962324
0,005;130,956842
0,006;130,949968
0,007;130,943596
0,008;130,938986
0,009;130,941771
0,01;130,943632
0,02;130,950552
0,03;130,942772
0,04;130,942396
0,05;130,946146
0,06;130,949278
0,07;130,950151
0,08;130,945913
0,09;130,934547
0,1;130,920460
0,11;130,934633
0,12;130,948053
0,13;130,958153
0,14;130,955984
0,15;130,423731
0,2;130,929636
0,3;130,867672
0,4;130,955587
0,5;130,877039
0,6;130,818981
0,7;130,803560
0,8;130,806583
0,9;130,816994
1,0;130,829739
2,0;130,778181
3,0;130,744957
4,0;130,720192
5,0;130,689049
6,0;130,689360
7,0;130,656635
8,0;130,521792
9,0;130,493036
10,0;130,551449
11,0;130,577797
12,0;130,530123
13,0;130,510895
14,0;130,513010
15,0;130,462885
16,0;130,480084
17,0;130,472961
18,0;130,414164
19,0;130,411062
20,0;130,403147
21,0;130,411718
22,0;130,404680
23,0;130,412437
24,0;130,376381
25,0;130,344265
26,0;130,365105
27,0;130,376417
28,0;130,308748
29,0;130,261242
30,0;130,066587
