f [Hz];U [dBuV]
0,001;10,664398
0,002;10,615669
0,003;12,191833
0,004;14,026428
0,005;15,585091
0,006;16,625038
0,007;17,571938
0,008;18,348228
0,009;19,108780
0,01;19,905571
0,02;23,659264
0,03;24,985291
0,04;26,028030
0,05;26,089363
0,06;26,310989
0,07;26,571983
0,08;26,667534
0,09;26,663177
0,1;26,690193
0,11;26,737823
0,12;26,719727
0,13;26,699631
0,14;26,723312
0,15;25,932381
0,2;26,851410
0,3;26,772347
0,4;26,990776
0,5;26,975494
0,6;26,879303
0,7;26,734032
0,8;26,649323
0,9;26,581902
1,0;26,528801
2,0;25,663284
3,0;23,239052
4,0;20,098198
5,0;31,120506
6,0;26,529579
7,0;24,928207
8,0;30,600021
9,0;31,263466
10,0;30,777603
11,0;30,275597
12,0;29,181854
13,0;27,733971
14,0;25,401436
15,0;26,570206
16,0;31,502647
17,0;34,002159
18,0;34,050804
19,0;32,901276
20,0;31,180817
21,0;30,071434
22,0;31,650734
23,0;33,055206
24,0;33,012344
25,0;31,955566
26,0;30,153740
27,0;29,531197
28,0;30,802742
29,0;31,871262
30,0;31,981133
