f [Hz];U [dBuV]
0,001;56,265556
0,002;63,095383
0,003;70,860291
0,004;74,663071
0,005;77,501554
0,006;77,693874
0,007;78,255314
0,008;78,216280
0,009;78,244108
0,01;78,582212
0,02;78,533791
0,03;78,567886
0,04;78,983156
0,05;78,653074
0,06;78,699917
0,07;78,714787
0,08;78,735903
0,09;78,727407
0,1;78,727299
0,11;78,758499
0,12;78,793259
0,13;78,815504
0,14;78,826540
0,15;78,255068
0,2;78,822077
0,3;78,819447
0,4;78,902714
0,5;78,829828
0,6;78,791561
0,7;78,796890
0,8;78,816441
0,9;78,839205
1,0;78,857996
2,0;78,776066
3,0;78,633547
4,0;78,524813
5,0;78,424257
6,0;78,445852
7,0;78,575806
8,0;78,610580
9,0;78,835056
10,0;79,190084
11,0;79,590078
12,0;79,987614
13,0;80,401154
14,0;80,691774
15,0;80,801197
16,0;80,785400
17,0;80,585642
18,0;80,094109
19,0;79,651001
20,0;79,173920
21,0;78,760548
22,0;78,420900
23,0;78,198004
24,0;78,040600
25,0;78,002127
26,0;78,108746
27,0;78,292875
28,0;78,531107
29,0;78,785460
30,0;78,842319
