f [Hz];U [dBuV]
0,001;94,000586
0,002;110,511394
0,003;118,886797
0,004;123,341331
0,005;125,332380
0,006;125,832926
0,007;125,992270
0,008;126,058880
0,009;126,082808
0,01;126,078857
0,02;125,107466
0,03;123,348371
0,04;121,631519
0,05;120,127847
0,06;118,815209
0,07;117,655210
0,08;116,616125
0,09;115,672991
0,1;114,811555
0,11;114,052920
0,12;113,353540
0,13;112,703563
0,14;112,088588
0,15;110,903322
0,2;109,071627
0,3;105,558887
0,4;103,180269
0,5;101,173540
0,6;99,527428
0,7;98,158872
0,8;96,978059
0,9;95,932229
1,0;94,987366
2,0;88,026733
3,0;81,965006
4,0;75,970858
5,0;85,693686
6,0;79,881794
7,0;77,531387
8,0;81,638077
9,0;81,280136
10,0;80,306881
11,0;79,084000
12,0;77,241058
13,0;74,594822
14,0;70,777767
15,0;70,533627
16,0;75,074774
17,0;78,075134
18,0;77,837070
19,0;75,911882
20,0;73,708961
21,0;72,818218
22,0;74,902348
23,0;75,941231
24,0;75,395086
25,0;74,423435
26,0;71,855240
27,0;70,342640
28,0;70,928494
29,0;71,790009
30,0;71,543270
