f [Hz];U [dBuV]
1e-05;37,123749
2e-05;43,197777
3e-05;45,823772
4e-05;48,540073
5e-05;50,260765
6e-05;51,943481
7e-05;53,180805
8e-05;54,328423
9e-05;55,263222
0,0001;56,853096
0,0002;62,171192
0,0003;65,629669
0,0004;68,099903
0,0005;69,963135
0,0006;71,472267
0,0007;72,743340
0,0008;73,830898
0,0009;74,785118
0,001;75,677109
0,002;81,245699
0,003;84,510302
0,004;86,782639
0,005;88,497332
0,006;89,844547
0,007;90,932688
0,008;91,828093
0,009;92,581345
0,01;93,211926
0,02;95,960396
0,03;96,092502
0,04;95,497452
0,05;94,689165
0,06;93,836049
0,07;92,997123
0,08;92,187977
0,09;91,410714
0,1;90,667450
0,11;89,984200
0,12;89,331865
0,13;88,706038
0,14;88,113253
0,15;86,805620
0,2;85,384212
0,3;81,917929
0,4;79,783058
0,5;77,892523
0,6;76,229134
0,7;74,811790
0,8;73,584518
0,9;72,508247
1,0;71,546062
