f [Hz];U [dBuV]
1e-05;38,711403
2e-05;45,082077
3e-05;48,069702
4e-05;50,660355
5e-05;52,481564
6e-05;54,102718
7e-05;55,393730
8e-05;56,495255
9e-05;57,503574
0,0001;59,172981
0,0002;64,455776
0,0003;67,934238
0,0004;70,426434
0,0005;72,337807
0,0006;73,881577
0,0007;75,202766
0,0008;76,346756
0,0009;77,350428
0,001;78,276573
0,002;84,132671
0,003;87,500898
0,004;89,815632
0,005;91,550536
0,006;92,907404
0,007;93,998722
0,008;94,892936
0,009;95,641397
0,01;96,265155
0,02;98,890974
0,03;98,903860
0,04;98,215276
0,05;97,333931
0,06;96,421345
0,07;95,533469
0,08;94,683810
0,09;93,872504
0,1;93,100287
0,11;92,392740
0,12;91,716623
0,13;91,072897
0,14;90,462473
0,15;89,147665
0,2;87,650434
0,3;84,038740
0,4;81,402889
0,5;79,389975
0,6;77,790779
0,7;76,377998
0,8;74,795547
0,9;72,791733
1,0;71,891796
