f [Hz];U [dBuV]
1e-05;37,721787
2e-05;44,502926
3e-05;47,309238
4e-05;49,854794
5e-05;51,780861
6e-05;53,320938
7e-05;54,708340
8e-05;55,783051
9e-05;56,782612
0,0001;58,433792
0,0002;63,696274
0,0003;67,125683
0,0004;69,595959
0,0005;71,443024
0,0006;72,939434
0,0007;74,211636
0,0008;75,299957
0,0009;76,250959
0,001;77,126892
0,002;82,653732
0,003;85,889507
0,004;88,149374
0,005;89,865093
0,006;91,223999
0,007;92,332962
0,008;93,258090
0,009;94,048345
0,01;94,723417
0,02;98,070411
0,03;98,753799
0,04;98,548567
0,05;98,006423
0,06;97,338623
0,07;96,633743
0,08;95,924645
0,09;95,224857
0,1;94,542941
0,11;93,907708
0,12;93,293522
0,13;92,697750
0,14;92,125587
0,15;90,833914
0,2;89,459316
0,3;85,989244
0,4;83,426416
0,5;81,474369
0,6;79,919327
0,7;78,545074
0,8;77,002398
0,9;75,065771
1,0;74,191807
