f [Hz];U [dBuV]
1e-05;30,826950
2e-05;34,107506
3e-05;37,119461
4e-05;39,477203
5e-05;41,409966
6e-05;43,002571
7e-05;44,078659
8e-05;45,124550
9e-05;46,131973
0,0001;48,935719
0,0002;53,160480
0,0003;56,628498
0,0004;59,127201
0,0005;60,956066
0,0006;62,449989
0,0007;63,737534
0,0008;64,875458
0,0009;65,868435
0,001;66,849037
0,002;72,622009
0,003;75,975414
0,004;78,284851
0,005;80,016676
0,006;81,371134
0,007;82,460152
0,008;83,353056
0,009;84,106153
0,01;84,726284
0,02;87,349140
0,03;87,357969
0,04;86,665272
0,05;85,778856
0,06;84,863907
0,07;83,973047
0,08;83,120777
0,09;82,307850
0,1;81,542669
0,11;80,827904
0,12;80,154858
0,13;79,513336
0,14;78,901306
0,15;77,540546
0,2;76,104544
0,3;72,524178
0,4;70,007748
0,5;67,858330
0,6;66,180206
0,7;64,696548
0,8;63,096535
0,9;60,996246
1,0;59,426136
