f [Hz];U [dBuV]
1e-05;27,007118
2e-05;32,697090
3e-05;35,005074
4e-05;37,908813
5e-05;39,553772
6e-05;41,617599
7e-05;42,383476
8e-05;43,359375
9e-05;44,373581
0,0001;47,821926
0,0002;51,567017
0,0003;54,789082
0,0004;57,378212
0,0005;59,104767
0,0006;60,521328
0,0007;61,721584
0,0008;62,838669
0,0009;63,775105
0,001;64,776802
0,002;70,186714
0,003;73,433556
0,004;75,695639
0,005;77,404116
0,006;78,747110
0,007;79,833120
0,008;80,727148
0,009;81,483601
0,01;82,112854
0,02;84,855108
0,03;84,984438
0,04;84,387178
0,05;83,576321
0,06;82,722351
0,07;81,881716
0,08;81,072380
0,09;80,293501
0,1;79,559387
0,11;78,870804
0,12;78,223469
0,13;77,594408
0,14;77,000307
0,15;75,661213
0,2;74,279282
0,3;70,810463
0,4;68,676292
0,5;66,790245
0,6;65,123222
0,7;63,709232
0,8;62,481724
0,9;61,409000
1,0;60,446514
