f [Hz];U [dB]
10,0;74,10257125318854
20,0;80,02778609036145
30,0;83,41703597020525
40,0;85,7501218238181
50,0;87,48439314676523
60,0;88,83885882346758
70,0;89,9201016039313
80,0;90,80132966197863
90,0;91,52929562845316
100,0;92,13849171560291
200,0;95,00263448533941
300,0;95,84206831721261
400,0;96,18502385691586
500,0;96,3544763965331
600,0;96,4500417831658
700,0;96,50945368894425
800,0;96,54739900682137
900,0;96,5740278152137
1000,0;96,59344358416388
2000,0;96,65433194860816
3000,0;96,67010077677575
4000,0;96,67756625034947
5000,0;96,68616603505708
6000,0;96,69420696393232
7000,0;96,69997784468796
8000,0;96,706633507054
9000,0;96,71589386655661
10000,0;96,72766716489228
20000,0;96,81663327618705
30000,0;96,82407682412057
40000,0;96,81866440551354
50000,0;96,80660409619585
60000,0;96,79143491129446
70000,0;96,77629163871472
80000,0;96,7611956483207
90000,0;96,74652590778594
100000,0;96,73022463692746
110000,0;96,6875143213204
120000,0;96,53515085418934
130000,0;96,10034931295277
140000,0;95,54941750899346
150000,0;95,33137277951249
200000,0;92,45741317027472
300000,0;97,43994156251134
400000,0;103,63911651428984
500000,0;103,80314355856684
