f [Hz];U [V]
10,0;0,1726113116822165
20,0;0,17164509523771634
30,0;0,1693113608656164
40,0;0,16620539121798467
50,0;0,16242243753804492
60,0;0,15819369659034477
70,0;0,15357805849036316
80,0;0,1487162086375995
90,0;0,14372833991134903
100,0;0,13871864958698846
200,0;0,09615316697417284
300,0;0,0703974227435213
400,0;0,054806465771647
500,0;0,04464149409942123
600,0;0,03756412936024793
700,0;0,032379998621395754
800,0;0,02842638443697392
900,0;0,025309477572777767
1000,0;0,022790168117124237
2000,0;0,011233013614537109
3000,0;0,007241045222912664
4000,0;0,005169184849092406
5000,0;0,003854668110276433
6000,0;0,002940890195552211
7000,0;0,002240442832893793
8000,0;0,0016823186223781494
9000,0;0,001246097095153644
10000,0;0,0008631422668240301
20000,0;0,0018253597594328314
30000,0;0,003493016536845213
40000,0;0,004960774289441554
50000,0;0,006348334140520333
60000,0;0,007698315480535462
70000,0;0,009053604052923193
80000,0;0,010401887007302726
90000,0;0,011761629928147863
100000,0;0,013145612582589164
110000,0;0,014525982458779752
120000,0;0,015878995080713013
130000,0;0,01709069459031503
140000,0;0,018164987469709144
150000,0;0,01930335143596793
200000,0;0,025133885875309316
300000,0;0,04070027917382886
400000,0;0,04302267834138367
500000,0;0,0578686134664642
