f [Hz];U [dB]
10,0;146,11530196886068
20,0;146,01315088980985
30,0;146,0126039140575
40,0;146,01298908378436
50,0;146,0126338154854
60,0;146,01262032788858
70,0;146,01252359034535
80,0;146,01254235269332
90,0;146,01240340461925
100,0;146,01263146714507
200,0;146,01237467045559
300,0;146,0129562574848
400,0;146,01307584543275
500,0;146,0122275185718
600,0;146,0128689044991
700,0;146,0124174704311
800,0;146,01273582628446
900,0;146,01239285524542
1000,0;146,0120094050897
2000,0;146,01079448938142
3000,0;146,0092967120468
4000,0;146,00862455671742
5000,0;146,0071968013018
6000,0;146,00464103724178
7000,0;145,9998971428421
8000,0;145,99498558224576
9000,0;145,99405204715623
10000,0;145,99528928909598
20000,0;146,02191478185918
30000,0;146,0112852841394
40000,0;146,00859523191752
50000,0;146,00755932888714
60000,0;146,0075341094247
70000,0;146,0096339386331
80000,0;146,0110589447644
90000,0;146,01166464698818
100000,0;146,01300022256794
110000,0;146,0128477945747
120000,0;146,01501491486684
130000,0;146,01362924559194
140000,0;146,01163240590967
150000,0;146,00966266956573
200000,0;146,00013257682997
300000,0;145,9664220650888
400000,0;145,9143610708755
500000,0;145,85218862997937
