f [Hz];U [dB]
10,0;146,00090811806027
20,0;146,01488655269938
30,0;146,01400147446748
40,0;146,01421776777937
50,0;146,01391470977143
60,0;146,01414567060718
70,0;146,01395809222777
80,0;146,01407122488547
90,0;146,0138807191151
100,0;146,01408939383083
200,0;146,01427696937472
300,0;146,01424531574798
400,0;146,0142728636293
500,0;146,01383909420974
600,0;146,01427755942183
700,0;146,0138250306999
800,0;146,01400791601705
900,0;146,01354130927706
1000,0;146,01361927550508
2000,0;146,0120569038583
3000,0;146,01026437381952
4000,0;146,00970196535778
5000,0;146,0085336421351
6000,0;146,00557811089885
7000,0;146,00027641239296
8000,0;145,99584147072275
9000,0;145,99553424756922
10000,0;145,99595190776324
