f [Hz];U [dB]
30,0;74,47203644114505
40,0;76,67736164787007
50,0;78,34636812801293
60,0;79,528904217055
70,0;80,58104917346091
80,0;81,44681986200334
90,0;82,15706389317226
100,0;82,74691903001262
200,0;85,53572644349471
300,0;86,35138157249818
400,0;86,66443294731407
500,0;86,81940720838098
600,0;86,90602200519406
700,0;86,95211792681701
800,0;86,98640618967397
900,0;87,01092513859506
1000,0;87,02271276161498
2000,0;87,06789906135407
3000,0;87,06789196210978
4000,0;87,0692334637903
5000,0;87,0744920151258
6000,0;87,0910617742888
7000,0;87,08724101731556
8000,0;87,08999168731593
9000,0;87,10456205507188
10000,0;87,11435048836344
