f [Hz];U [dBuV]
0,001;21,522713
0,002;21,451149
0,003;23,136459
0,004;25,431763
0,005;27,390495
0,006;29,113434
0,007;30,180183
0,008;31,060524
0,009;32,157768
0,01;32,855148
0,02;38,582802
0,03;42,015999
0,04;44,619862
0,05;46,319622
0,06;47,856930
0,07;49,116661
0,08;50,227421
0,09;51,163067
0,1;51,999165
0,11;52,779247
0,12;53,471470
0,13;54,076797
0,14;54,586090
0,15;54,488304
0,2;56,638451
0,3;58,846928
0,4;59,938400
0,5;60,620712
0,6;60,990837
0,7;61,188122
0,8;61,290352
0,9;61,346340
1,0;61,378986
2,0;61,314384
3,0;61,283283
4,0;61,354115
5,0;61,513817
6,0;61,734104
7,0;61,843040
8,0;61,609592
9,0;61,108559
10,0;60,290085
11,0;59,191410
12,0;57,613434
13,0;55,320396
14,0;50,162560
15,0;43,281445
16,0;59,618004
17,0;65,639385
18,0;67,626106
19,0;67,514523
20,0;66,044128
21,0;63,518528
22,0;59,597969
23,0;51,804729
24,0;47,768665
25,0;59,636055
26,0;65,043167
27,0;68,703472
28,0;71,391678
29,0;73,146755
30,0;73,754959
