f [Hz];U [dBuV]
0,001;109,535912
0,002;109,523215
0,003;109,519785
0,004;109,508603
0,005;109,501237
0,006;109,492815
0,007;109,485372
0,008;109,479488
0,009;109,481617
0,01;109,482630
0,02;109,486294
0,03;109,476889
0,04;109,475961
0,05;109,478934
0,06;109,481655
0,07;109,482176
0,08;109,477746
0,09;109,466790
0,1;109,454195
0,11;109,469974
0,12;109,486624
0,13;109,497998
0,14;109,497390
0,15;109,004354
0,2;109,449953
0,3;109,394482
0,4;109,477894
0,5;109,395360
0,6;109,332273
0,7;109,311097
0,8;109,306822
0,9;109,308521
1,0;109,310850
2,0;109,126042
3,0;108,947435
4,0;108,886033
5,0;108,987356
6,0;109,277566
7,0;109,600237
8,0;109,707008
9,0;109,635398
10,0;109,341636
11,0;108,838130
12,0;108,327577
13,0;108,065773
14,0;108,130969
15,0;108,474216
16,0;109,165420
17,0;109,959012
18,0;110,498628
19,0;110,510165
20,0;109,893465
21,0;109,031826
22,0;108,260363
23,0;107,804101
24,0;107,676681
25,0;107,946141
26,0;108,658284
27,0;109,617323
28,0;110,491275
29,0;110,887912
30,0;110,143977
