f [Hz];U [dBuV]
0,001;131,030289
0,002;131,011461
0,003;131,012234
0,004;131,004316
0,005;131,000155
0,006;130,994207
0,007;130,988373
0,008;130,984720
0,009;130,987726
0,01;130,990087
0,02;130,999348
0,03;130,993212
0,04;130,994986
0,05;131,000664
0,06;131,005768
0,07;131,008463
0,08;131,005434
0,09;130,995432
0,1;130,982387
0,11;130,998083
0,12;131,013514
0,13;131,023767
0,14;131,023829
0,15;130,524593
0,2;130,996510
0,3;130,948721
0,4;131,046005
0,5;130,976683
0,6;130,925970
0,7;130,918175
0,8;130,927021
0,9;130,943949
1,0;130,962517
2,0;130,954790
3,0;130,954817
4,0;130,954989
5,0;130,942408
6,0;130,957809
7,0;130,946733
8,0;130,840586
9,0;130,844528
10,0;130,930695
11,0;130,944025
12,0;130,913216
13,0;130,911743
14,0;130,933588
15,0;130,902548
16,0;130,935875
17,0;130,938909
18,0;130,885969
19,0;130,886393
20,0;130,884613
21,0;130,905085
22,0;130,914820
23,0;130,938349
24,0;130,911814
25,0;130,886021
26,0;130,913553
27,0;130,936827
28,0;130,890953
29,0;130,872007
30,0;130,635609
