f [Hz];U [dBuV]
0,001;130,998383
0,002;130,976177
0,003;130,974356
0,004;130,964905
0,005;130,959211
0,006;130,952488
0,007;130,945591
0,008;130,940369
0,009;130,943169
0,01;130,945045
0,02;130,951092
0,03;130,942480
0,04;130,942390
0,05;130,945898
0,06;130,948463
0,07;130,949308
0,08;130,944941
0,09;130,933218
0,1;130,918705
0,11;130,933104
0,12;130,946816
0,13;130,956230
0,14;130,954741
0,15;130,445663
0,2;130,924208
0,3;130,865065
0,4;130,951899
0,5;130,873772
0,6;130,815208
0,7;130,799375
0,8;130,801863
0,9;130,812161
1,0;130,824455
2,0;130,770243
3,0;130,734341
4,0;130,706312
5,0;130,672075
6,0;130,667253
7,0;130,629110
8,0;130,489155
9,0;130,460798
10,0;130,524464
11,0;130,553751
12,0;130,504084
13,0;130,483499
14,0;130,486679
15,0;130,443703
16,0;130,465948
17,0;130,461170
18,0;130,397743
19,0;130,383415
20,0;130,359739
21,0;130,355600
22,0;130,343794
23,0;130,353634
24,0;130,316662
25,0;130,277168
26,0;130,289436
27,0;130,287834
28,0;130,223871
29,0;130,197576
30,0;129,975145
